2020-05-12-17-51-31-518 : connect() error ip=127.0.0.1, port=10002, error=0x274d
2020-05-12-17-51-31-525 : Error!! TCP Connection, ip=127.0.0.1, port=10002
2020-05-12-17-52-07-981 : connect() error ip=127.0.0.1, port=10002, error=0x274d
2020-05-12-17-52-07-987 : Error!! TCP Connection, ip=127.0.0.1, port=10002
2020-05-12-17-52-12-398 : connect() error ip=127.0.0.1, port=10002, error=0x274d
2020-05-12-17-52-12-405 : Error!! TCP Connection, ip=127.0.0.1, port=10002
2020-05-12-17-54-55-155 : connect() error ip=127.0.0.1, port=10002, error=0x274d
2020-05-12-17-54-55-161 : Error!! TCP Connection, ip=127.0.0.1, port=10002
2020-05-12-17-55-00-478 : connect() error ip=127.0.0.1, port=10002, error=0x274d
2020-05-12-17-55-00-484 : Error!! TCP Connection, ip=127.0.0.1, port=10002
2020-05-12-17-55-08-024 : connect() error ip=127.0.0.1, port=10002, error=0x274d
2020-05-12-17-55-08-030 : Error!! TCP Connection, ip=127.0.0.1, port=10002
2020-05-12-17-55-22-926 : connect() error ip=127.0.0.1, port=10002, error=0x274d
2020-05-12-17-55-22-932 : Error!! TCP Connection, ip=127.0.0.1, port=10002
